rate,window_duration,g2_heralded
1.00e+06,1.00e-08,0.511468
1.00e+06,2.00e-08,0.536217
1.00e+06,5.00e-08,0.527938
1.00e+06,1.00e-07,0.515437
1.00e+06,2.00e-07,0.508075
1.00e+06,5.00e-07,0.541702
1.00e+06,1.00e-06,0.564438
1.00e+06,2.00e-06,0.622320
2.00e+06,1.00e-08,0.483838
2.00e+06,2.00e-08,0.506291
2.00e+06,5.00e-08,0.513763
2.00e+06,1.00e-07,0.517356
2.00e+06,2.00e-07,0.527275
2.00e+06,5.00e-07,0.563217
2.00e+06,1.00e-06,0.622841
2.00e+06,2.00e-06,0.731861
5.00e+06,1.00e-08,0.504316
5.00e+06,2.00e-08,0.496094
5.00e+06,5.00e-08,0.508686
5.00e+06,1.00e-07,0.535753
5.00e+06,2.00e-07,0.564704
5.00e+06,5.00e-07,0.646954
5.00e+06,1.00e-06,0.776003
5.00e+06,2.00e-06,0.923547
1.00e+07,1.00e-08,0.517270
1.00e+07,2.00e-08,0.508820
1.00e+07,5.00e-08,0.534101
1.00e+07,1.00e-07,0.559140
1.00e+07,2.00e-07,0.619440
1.00e+07,5.00e-07,0.778975
1.00e+07,1.00e-06,0.925443
1.00e+07,2.00e-06,0.992950
2.00e+07,1.00e-08,0.509097
2.00e+07,2.00e-08,0.527952
2.00e+07,5.00e-08,0.564875
2.00e+07,1.00e-07,0.625267
2.00e+07,2.00e-07,0.731299
2.00e+07,5.00e-07,0.925069
2.00e+07,1.00e-06,0.993620
2.00e+07,2.00e-06,0.999950
5.00e+07,1.00e-08,0.535019
5.00e+07,2.00e-08,0.562702
5.00e+07,5.00e-08,0.651237
5.00e+07,1.00e-07,0.777103
5.00e+07,2.00e-07,0.924286
5.00e+07,5.00e-07,0.998150
5.00e+07,1.00e-06,1.000000
5.00e+07,2.00e-06,1.000000
1.00e+08,1.00e-08,0.561899
1.00e+08,2.00e-08,0.621364
1.00e+08,5.00e-08,0.778036
1.00e+08,1.00e-07,0.924802
1.00e+08,2.00e-07,0.993570
1.00e+08,5.00e-07,1.000000
1.00e+08,1.00e-06,1.000000
1.00e+08,2.00e-06,1.000000
2.00e+08,1.00e-08,0.620475
2.00e+08,2.00e-08,0.728550
2.00e+08,5.00e-08,0.924302
2.00e+08,1.00e-07,0.993780
2.00e+08,2.00e-07,0.999930
2.00e+08,5.00e-07,1.000000
2.00e+08,1.00e-06,1.000000
2.00e+08,2.00e-06,1.000000
5.00e+08,1.00e-08,0.775759
5.00e+08,2.00e-08,0.925105
5.00e+08,5.00e-08,0.998140
5.00e+08,1.00e-07,1.000000
5.00e+08,2.00e-07,1.000000
5.00e+08,5.00e-07,1.000000
5.00e+08,1.00e-06,1.000000
5.00e+08,2.00e-06,1.000000
1.00e+09,1.00e-08,0.924512
1.00e+09,2.00e-08,0.993360
1.00e+09,5.00e-08,0.999990
1.00e+09,1.00e-07,1.000000
1.00e+09,2.00e-07,1.000000
1.00e+09,5.00e-07,1.000000
1.00e+09,1.00e-06,1.000000
1.00e+09,2.00e-06,1.000000
