rate,window_duration,Rdark_H,Rdark_2,Rdark_3,eta_H,eta_S,N1,N12,N13,N123,g2_heralded
1.000000e+08,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,79295,31411,31476,12524,1.00444824
2.000000e+08,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,80129,32054,31911,12674,0.99284346
5.000000e+08,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,81481,33140,33093,13510,1.00374422
1.000000e+09,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,84126,35255,34970,14566,0.99392633
2.000000e+09,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,89973,39738,39423,17394,0.99897816
5.000000e+09,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,105653,52382,52322,25692,0.99040616
1.000000e+10,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,126358,71258,71041,39671,0.99022343
2.000000e+10,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,155201,102879,102830,67553,0.99104320
5.000000e+10,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,190048,158457,158425,131931,0.99879190
1.000000e+11,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,199187,189313,189448,180076,1.00010676
2.000000e+11,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,199992,199204,199192,198406,0.99999419
5.000000e+11,1.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,200000,199998,199999,199997,1.00000000
1.000000e+08,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,127202,80876,80530,51071,0.99744955
2.000000e+08,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,127981,81697,81505,51913,0.99777189
5.000000e+08,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,130281,83911,84144,54109,0.99840912
1.000000e+09,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,133379,87538,86990,57125,1.00057056
2.000000e+09,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,139640,94048,94247,63380,0.99849289
5.000000e+09,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,155494,112872,112755,81828,0.99975490
1.000000e+10,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,172804,135825,135708,106551,0.99890953
2.000000e+10,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,190102,165042,165462,143500,0.99895480
5.000000e+10,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,199505,193587,193580,187814,0.99987353
1.000000e+11,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,199998,199482,199505,198990,0.99999863
2.000000e+11,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,200000,199996,199998,199994,1.00000000
5.000000e+11,2.000000e-10,5.000000e+09,5.000000e+09,5.000000e+09,0.500,0.500,200000,200000,200000,200000,1.00000000
